"Story","Title","Result","Date","Stability","Duration (s)"
"Categories CRUD test with steps","This test will create a new categories and verify its generated","SUCCESS","2022-01-11T20:55:20.636Z[Europe/London]","0.0","8.81"
"Categories CRUD test with steps","This test will get the categories information by ID","SUCCESS","2022-01-11T20:55:29.659Z[Europe/London]","0.0","0.28"
"Categories CRUD test with steps","This test will update the categories information and verify the updated information","SUCCESS","2022-01-11T20:55:29.963Z[Europe/London]","0.0","0.42"
"Categories CRUD test with steps","This test will delete the categories information and verify the categories is deleted ","SUCCESS","2022-01-11T20:55:30.388Z[Europe/London]","0.0","0.34"
"Product CURD test with steps","This test will create a new products and verify its generated","SUCCESS","2022-01-11T20:55:33.547Z[Europe/London]","0.0","0.14"
"Product CURD test with steps","This test will get the product information by ID","SUCCESS","2022-01-11T20:55:33.690Z[Europe/London]","0.0","0.06"
"Product CURD test with steps","This test will delete the product information and verify the product is deleted ","SUCCESS","2022-01-11T20:55:33.995Z[Europe/London]","0.0","0.14"
"Services CRUD test with steps","This test will create a new services and verify its generated","SUCCESS","2022-01-11T20:55:34.564Z[Europe/London]","0.0","0.2"
"Services CRUD test with steps","This test will get the services information by ID","SUCCESS","2022-01-11T20:55:34.761Z[Europe/London]","0.0","0.06"
"Services CRUD test with steps","This test will update the services information and verify the updated information","SUCCESS","2022-01-11T20:55:34.818Z[Europe/London]","0.0","0.26"
"Services CRUD test with steps","This test will delete the categories information and verify the categories is deleted ","SUCCESS","2022-01-11T20:55:35.078Z[Europe/London]","0.0","0.28"
"Stores CURD test with steps","This test will create a new stores and verify its generated","SUCCESS","2022-01-11T20:55:35.854Z[Europe/London]","0.0","0.28"
"Stores CURD test with steps","This test will get the stores information by ID","SUCCESS","2022-01-11T20:55:36.132Z[Europe/London]","0.0","0.07"
"Stores CURD test with steps","This test will update the store information and verify the updated information","SUCCESS","2022-01-11T20:55:36.201Z[Europe/London]","0.0","0.15"
"Stores CURD test with steps","This test will delete the store and verify the store is deleted ","SUCCESS","2022-01-11T20:55:36.352Z[Europe/London]","0.0","0.09"
